Codice,Tipologia stazione,Provincia,Comune,Codice_GWB-PdG_2021-2027,Nome_GWB_2021-2027,XUTM-ETRS89,YUTM-ETRS89,Quota Piano Campagna (m),Profondità pozzo (m),Posizione filtri ,N tot filtri,Inizio filtri: da m,Fine filtri: a m
BOF7-00,Piezometro,BO,BENTIVOGLIO,IT080610ER-DQ2-PACS-ITB,Pianura Alluvionale Appenninica - confinato superiore,691203,4942161,18.7,80,,2,41,74
BOF8-00,Piezometro,BO,BOLOGNA,IT080442ER-DQ2-CCS,Conoide Reno-Lavino - confinato superiore,682966,4931939,39.19,60,Fondo foro,1,50,60
BOF9-00,Piezometro,BO,CASTELLO D'ARGILE,IT080610ER-DQ2-PACS-ITB,Pianura Alluvionale Appenninica - confinato superiore,680802,4950302,19,200,,1,100,130
BOG0-00,Piezometro,BO,IMOLA,IT080210ER-DQ1-CL,Conoide Santerno - libero,718555,4915467,36.5,183.5,Fondo foro,1,154,183.5
BOH0-00,Pozzo,BO,SAN LAZZARO DI SAVENA,IT080192ER-DQ1-CL,Conoide Zena-Idice - libero,692784,4924110,79,51,,,,
BOH1-00,Pozzo,BO,SAN LAZZARO DI SAVENA,IT080192ER-DQ1-CL,Conoide Zena-Idice - libero,694780,4924511,71,100,,,,
BOH2-00,Pozzo,BO,DOZZA,IT080660ER-DET1-CMSG,Conoidi montane e Sabbie gialle orientali,709871,4917220,76,16,,,,
BOH2-01,Pozzo,BO,DOZZA,IT080660ER-DET1-CMSG,Conoidi montane e Sabbie gialle orientali,709980,4917172,76,15,,,,
BOK1-00,Pozzo,BO,CASTEL SAN PIETRO TERME,IT080200ER-DQ1-CL,Conoide Sillaro - libero,706731,4917663,84.5,14,,,,
BOK2-00,Pozzo,BO,CASTEL SAN PIETRO TERME,IT080200ER-DQ1-CL,Conoide Sillaro - libero,708077,4920226,59.5,80,,,,
